model_id,iuid,weight
193659,HK_20_F00000MC3V,0.171000
193659,HK_20_F0GBR04D2K,0.209000
193659,HK_20_F0GBR04MRF,0.035000
193659,HK_20_F0GBR04MRX,0.326000
193659,HK_20_F0HKG05BUU,0.035000
193659,HK_20_F0HKG05BVF,0.224000
193664,HK_20_F00000MC3V,0.171000
193664,HK_20_F0GBR04D2K,0.209000
193664,HK_20_F0GBR04MRF,0.035000
193664,HK_20_F0GBR04MRX,0.326000
193664,HK_20_F0HKG05BUU,0.035000
193664,HK_20_F0HKG05BVF,0.224000
193669,HK_20_F00000MC3V,0.171000
193669,HK_20_F0GBR04D2K,0.209000
193669,HK_20_F0GBR04MRF,0.035000
193669,HK_20_F0GBR04MRX,0.326000
193669,HK_20_F0HKG05BUU,0.035000
193669,HK_20_F0HKG05BVF,0.224000
193674,HK_20_F00000MC3V,0.171000
193674,HK_20_F0GBR04D2K,0.209000
193674,HK_20_F0GBR04MRF,0.035000
193674,HK_20_F0GBR04MRX,0.326000
193674,HK_20_F0HKG05BUU,0.035000
193674,HK_20_F0HKG05BVF,0.224000
193679,HK_20_F00000MC3V,0.171000
193679,HK_20_F0GBR04D2K,0.209000
193679,HK_20_F0GBR04MRF,0.035000
193679,HK_20_F0GBR04MRX,0.326000
193679,HK_20_F0HKG05BUU,0.035000
193679,HK_20_F0HKG05BVF,0.224000
193660,HK_20_F00000MC3V,0.171000
193660,HK_20_F0GBR04D2K,0.209000
193660,HK_20_F0GBR04MRF,0.035000
193660,HK_20_F0GBR04MRX,0.326000
193660,HK_20_F0HKG05BUU,0.035000
193660,HK_20_F0HKG05BVF,0.224000
193665,HK_20_F00000MC3V,0.171000
193665,HK_20_F0GBR04D2K,0.209000
193665,HK_20_F0GBR04MRF,0.035000
193665,HK_20_F0GBR04MRX,0.326000
193665,HK_20_F0HKG05BUU,0.035000
193665,HK_20_F0HKG05BVF,0.224000
193670,HK_20_F00000MC3V,0.171000
193670,HK_20_F0GBR04D2K,0.209000
193670,HK_20_F0GBR04MRF,0.035000
193670,HK_20_F0GBR04MRX,0.326000
193670,HK_20_F0HKG05BUU,0.035000
193670,HK_20_F0HKG05BVF,0.224000
193675,HK_20_F00000MC3V,0.171000
193675,HK_20_F0GBR04D2K,0.209000
193675,HK_20_F0GBR04MRF,0.035000
193675,HK_20_F0GBR04MRX,0.326000
193675,HK_20_F0HKG05BUU,0.035000
193675,HK_20_F0HKG05BVF,0.224000
193680,HK_20_F00000MC3V,0.171000
193680,HK_20_F0GBR04D2K,0.209000
193680,HK_20_F0GBR04MRF,0.035000
193680,HK_20_F0GBR04MRX,0.326000
193680,HK_20_F0HKG05BUU,0.035000
193680,HK_20_F0HKG05BVF,0.224000
193661,HK_20_F00000MC3V,0.171000
193661,HK_20_F0GBR04D2K,0.209000
193661,HK_20_F0GBR04MRF,0.035000
193661,HK_20_F0GBR04MRX,0.326000
193661,HK_20_F0HKG05BUU,0.035000
193661,HK_20_F0HKG05BVF,0.224000
193666,HK_20_F00000MC3V,0.171000
193666,HK_20_F0GBR04D2K,0.209000
193666,HK_20_F0GBR04MRF,0.035000
193666,HK_20_F0GBR04MRX,0.326000
193666,HK_20_F0HKG05BUU,0.035000
193666,HK_20_F0HKG05BVF,0.224000
193671,HK_20_F00000MC3V,0.171000
193671,HK_20_F0GBR04D2K,0.209000
193671,HK_20_F0GBR04MRF,0.035000
193671,HK_20_F0GBR04MRX,0.326000
193671,HK_20_F0HKG05BUU,0.035000
193671,HK_20_F0HKG05BVF,0.224000
193676,HK_20_F00000MC3V,0.171000
193676,HK_20_F0GBR04D2K,0.209000
193676,HK_20_F0GBR04MRF,0.035000
193676,HK_20_F0GBR04MRX,0.326000
193676,HK_20_F0HKG05BUU,0.035000
193676,HK_20_F0HKG05BVF,0.224000
193681,HK_20_F00000MC3V,0.171000
193681,HK_20_F0GBR04D2K,0.209000
193681,HK_20_F0GBR04MRF,0.035000
193681,HK_20_F0GBR04MRX,0.326000
193681,HK_20_F0HKG05BUU,0.035000
193681,HK_20_F0HKG05BVF,0.224000
193662,HK_20_F00000MC3V,0.171000
193662,HK_20_F0GBR04D2K,0.209000
193662,HK_20_F0GBR04MRF,0.035000
193662,HK_20_F0GBR04MRX,0.326000
193662,HK_20_F0HKG05BUU,0.035000
193662,HK_20_F0HKG05BVF,0.224000
193667,HK_20_F00000MC3V,0.171000
193667,HK_20_F0GBR04D2K,0.209000
193667,HK_20_F0GBR04MRF,0.035000
193667,HK_20_F0GBR04MRX,0.326000
193667,HK_20_F0HKG05BUU,0.035000
193667,HK_20_F0HKG05BVF,0.224000
193672,HK_20_F00000MC3V,0.171000
193672,HK_20_F0GBR04D2K,0.209000
193672,HK_20_F0GBR04MRF,0.035000
193672,HK_20_F0GBR04MRX,0.326000
193672,HK_20_F0HKG05BUU,0.035000
193672,HK_20_F0HKG05BVF,0.224000
193677,HK_20_F00000MC3V,0.171000
193677,HK_20_F0GBR04D2K,0.209000
193677,HK_20_F0GBR04MRF,0.035000
193677,HK_20_F0GBR04MRX,0.326000
193677,HK_20_F0HKG05BUU,0.035000
193677,HK_20_F0HKG05BVF,0.224000
193682,HK_20_F00000MC3V,0.171000
193682,HK_20_F0GBR04D2K,0.209000
193682,HK_20_F0GBR04MRF,0.035000
