dist_key,dist_type,dist_value,model_id
Others,200,7.660000,193659
USA,200,39.730000,193659
Singapore,200,1.060000,193659
Hong Kong,200,1.730000,193659
Japan,200,8.020000,193659
Philippines,200,1.070000,193659
Thailand,200,0.880000,193659
Switzerland,200,0.810000,193659
India,200,0.790000,193659
Spain,200,3.390000,193659
Canada,200,2.180000,193659
Netherlands,200,0.440000,193659
South Korea,200,2.480000,193659
China,200,8.670000,193659
UK,200,4.760000,193659
Italy,200,2.390000,193659
Mexico,200,0.380000,193659
France,200,2.420000,193659
Australia,200,2.520000,193659
Germany,200,6.570000,193659
Indonesia,200,2.050000,193659
Communication Services,300,12.190000,193659
Utilities,300,1.430000,193659
Financial Services,300,14.100000,193659
Basic Materials,300,2.710000,193659
Energy,300,1.680000,193659
Technology,300,21.200000,193659
Real Estate,300,0.580000,193659
Healthcare,300,18.530000,193659
Consumer Defensive,300,5.820000,193659
Industrials,300,7.700000,193659
Consumer Cyclical,300,14.060000,193659
Investment Grade Bond,500,96.840000,193659
High Yield Bond,500,3.160000,193659
Others,200,7.660000,193664
USA,200,39.730000,193664
Singapore,200,1.060000,193664
Hong Kong,200,1.730000,193664
Japan,200,8.020000,193664
Philippines,200,1.070000,193664
Thailand,200,0.880000,193664
Switzerland,200,0.810000,193664
India,200,0.790000,193664
Spain,200,3.390000,193664
Canada,200,2.180000,193664
Netherlands,200,0.440000,193664
South Korea,200,2.480000,193664
China,200,8.670000,193664
UK,200,4.760000,193664
Italy,200,2.390000,193664
Mexico,200,0.380000,193664
France,200,2.420000,193664
Australia,200,2.520000,193664
Germany,200,6.570000,193664
Indonesia,200,2.050000,193664
Communication Services,300,12.190000,193664
Utilities,300,1.430000,193664
Financial Services,300,14.100000,193664
Basic Materials,300,2.710000,193664
Energy,300,1.680000,193664
Technology,300,21.200000,193664
Real Estate,300,0.580000,193664
Healthcare,300,18.530000,193664
Consumer Defensive,300,5.820000,193664
Industrials,300,7.700000,193664
Consumer Cyclical,300,14.060000,193664
Investment Grade Bond,500,96.840000,193664
High Yield Bond,500,3.160000,193664
Others,200,7.660000,193669
USA,200,39.730000,193669
Singapore,200,1.060000,193669
Hong Kong,200,1.730000,193669
Japan,200,8.020000,193669
Philippines,200,1.070000,193669
Thailand,200,0.880000,193669
Switzerland,200,0.810000,193669
India,200,0.790000,193669
Spain,200,3.390000,193669
Canada,200,2.180000,193669
Netherlands,200,0.440000,193669
South Korea,200,2.480000,193669
China,200,8.670000,193669
UK,200,4.760000,193669
Italy,200,2.390000,193669
Mexico,200,0.380000,193669
France,200,2.420000,193669
Australia,200,2.520000,193669
Germany,200,6.570000,193669
Indonesia,200,2.050000,193669
Communication Services,300,12.190000,193669
Utilities,300,1.430000,193669
Financial Services,300,14.100000,193669
Basic Materials,300,2.710000,193669
Energy,300,1.680000,193669
Technology,300,21.200000,193669
Real Estate,300,0.580000,193669
Healthcare,300,18.530000,193669
Consumer Defensive,300,5.820000,193669
Industrials,300,7.700000,193669
Consumer Cyclical,300,14.060000,193669
Investment Grade Bond,500,96.840000,193669
High Yield Bond,500,3.160000,193669
Others,200,7.660000,193674
USA,200,39.730000,193674
Singapore,200,1.060000,193674
Hong Kong,200,1.730000,193674
Japan,200,8.020000,193674
Philippines,200,1.070000,193674
Thailand,200,0.880000,193674
Switzerland,200,0.810000,193674
India,200,0.790000,193674
Spain,200,3.390000,193674
Canada,200,2.180000,193674
Netherlands,200,0.440000,193674
South Korea,200,2.480000,193674
China,200,8.670000,193674
UK,200,4.760000,193674
Italy,200,2.390000,193674
Mexico,200,0.380000,193674
France,200,2.420000,193674
Australia,200,2.520000,193674
Germany,200,6.570000,193674
Indonesia,200,2.050000,193674
Communication Services,300,12.190000,193674
Utilities,300,1.430000,193674
Financial Services,300,14.100000,193674
Basic Materials,300,2.710000,193674
Energy,300,1.680000,193674
Technology,300,21.200000,193674
Real Estate,300,0.580000,193674
Healthcare,300,18.530000,193674
Consumer Defensive,300,5.820000,193674
Industrials,300,7.700000,193674
Consumer Cyclical,300,14.060000,193674
Investment Grade Bond,500,96.840000,193674
High Yield Bond,500,3.160000,193674
Others,200,7.660000,193679
USA,200,39.730000,193679
Singapore,200,1.060000,193679
Hong Kong,200,1.730000,193679
Japan,200,8.020000,193679
Philippines,200,1.070000,193679
Thailand,200,0.880000,193679
Switzerland,200,0.810000,193679
India,200,0.790000,193679
Spain,200,3.390000,193679
Canada,200,2.180000,193679
Netherlands,200,0.440000,193679
South Korea,200,2.480000,193679
China,200,8.670000,193679
UK,200,4.760000,193679
Italy,200,2.390000,193679
Mexico,200,0.380000,193679
France,200,2.420000,193679
Australia,200,2.520000,193679
Germany,200,6.570000,193679
Indonesia,200,2.050000,193679
Communication Services,300,12.190000,193679
Utilities,300,1.430000,193679
Financial Services,300,14.100000,193679
Basic Materials,300,2.710000,193679
Energy,300,1.680000,193679
Technology,300,21.200000,193679
Real Estate,300,0.580000,193679
Healthcare,300,18.530000,193679
Consumer Defensive,300,5.820000,193679
Industrials,300,7.700000,193679
Consumer Cyclical,300,14.060000,193679
Investment Grade Bond,500,96.840000,193679
High Yield Bond,500,3.160000,193679
Others,200,7.660000,193660
USA,200,39.730000,193660
Singapore,200,1.060000,193660
Hong Kong,200,1.730000,193660
Japan,200,8.020000,193660
Philippines,200,1.070000,193660
Thailand,200,0.880000,193660
Switzerland,200,0.810000,193660
India,200,0.790000,193660
Spain,200,3.390000,193660
Canada,200,2.180000,193660
Netherlands,200,0.440000,193660
South Korea,200,2.480000,193660
China,200,8.670000,193660
UK,200,4.760000,193660
Italy,200,2.390000,193660
Mexico,200,0.380000,193660
France,200,2.420000,193660
Australia,200,2.520000,193660
Germany,200,6.570000,193660
Indonesia,200,2.050000,193660
Communication Services,300,12.190000,193660
Utilities,300,1.430000,193660
Financial Services,300,14.100000,193660
Basic Materials,300,2.710000,193660
Energy,300,1.680000,193660
Technology,300,21.200000,193660
Real Estate,300,0.580000,193660
Healthcare,300,18.530000,193660
Consumer Defensive,300,5.820000,193660
Industrials,300,7.700000,193660
Consumer Cyclical,300,14.060000,193660
Investment Grade Bond,500,96.840000,193660
High Yield Bond,500,3.160000,193660
Others,200,7.660000,193665
USA,200,39.730000,193665
Singapore,200,1.060000,193665
Hong Kong,200,1.730000,193665
Japan,200,8.020000,193665
Philippines,200,1.070000,193665
Thailand,200,0.880000,193665
Switzerland,200,0.810000,193665
India,200,0.790000,193665
Spain,200,3.390000,193665
Canada,200,2.180000,193665
Netherlands,200,0.440000,193665
South Korea,200,2.480000,193665
China,200,8.670000,193665
UK,200,4.760000,193665
Italy,200,2.390000,193665
Mexico,200,0.380000,193665
France,200,2.420000,193665
Australia,200,2.520000,193665
Germany,200,6.570000,193665
Indonesia,200,2.050000,193665
Communication Services,300,12.190000,193665
Utilities,300,1.430000,193665
Financial Services,300,14.100000,193665
Basic Materials,300,2.710000,193665
Energy,300,1.680000,193665
Technology,300,21.200000,193665
Real Estate,300,0.580000,193665
Healthcare,300,18.530000,193665
Consumer Defensive,300,5.820000,193665
