algo_type_id,sector,region,risk_ratio,version,model_id,summary,fund_type
223,A1,B1,7,14,2051981,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A2,B1,7,14,2051982,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A3,B1,7,14,2051983,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A4,B1,7,14,2051984,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A5,B1,7,14,2051985,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A1,B2,7,14,2051986,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A2,B2,7,14,2051987,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A3,B2,7,14,2051988,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A4,B2,7,14,2051989,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
223,A5,B2,7,14,2051990,"{'acc_ret':0.187808,'ann_ret':0.030082,'ann_ret_1y':-0.013035,'ann_ret_5y':0.033711,'ann_vol':0.025300,'ann_vol_1y':0.022729,'max_drawdown':0.077094,'max_drawdown_1y':0.025417,'max_drawdown_5y':0.077094,'sharpe_ratio':1.189015}","[{'FundSectorRate':2.6,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.21,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':14.38,'FundSectorName':'Financial Services'},{'FundSectorRate':0.37,'FundSectorName':'Real Estate'},{'FundSectorRate':5.63,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':16.22,'FundSectorName':'Healthcare'},{'FundSectorRate':1.06,'FundSectorName':'Utilities'},{'FundSectorRate':12.55,'FundSectorName':'Communication Services'},{'FundSectorRate':2.17,'FundSectorName':'Energy'},{'FundSectorRate':8.68,'FundSectorName':'Industrials'},{'FundSectorRate':22.13,'FundSectorName':'Technology'},{'FundRegionRate':29.55,'FundRegionName':'USA'},{'FundRegionRate':18.78,'FundRegionName':'China'},{'FundRegionRate':6.37,'FundRegionName':'Japan'},{'FundRegionRate':3.2,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.15,'FundRegionName':'UK'},{'FundRegionRate':4.03,'FundRegionName':'Germany'},{'FundRegionRate':0.23,'FundRegionName':'Netherlands'},{'FundRegionRate':2.7,'FundRegionName':'Indonesia'},{'FundRegionRate':2.27,'FundRegionName':'India'},{'FundRegionRate':2.05,'FundRegionName':'Canada'},{'FundRegionRate':0.83,'FundRegionName':'Singapore'},{'FundRegionRate':3.18,'FundRegionName':'South Korea'},{'FundRegionRate':3.02,'FundRegionName':'France'},{'FundRegionRate':2.79,'FundRegionName':'Australia'},{'FundRegionRate':4.08,'FundRegionName':'Italy'},{'FundRegionRate':2.02,'FundRegionName':'Philippines'},{'FundRegionRate':0.71,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.35,'FundRegionName':'Thailand'},{'FundRegionRate':0.49,'FundRegionName':'Switzerland'},{'FundRegionRate':8.11,'FundRegionName':'Others'},{'FundBondRate':94.98,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':5.02,'FundBondLevel':'High Yield Bond'}]"
