model_id,iuid,weight
2052627,HK_20_0P0000VHMZ,0.175900
2052627,HK_20_F0HKG05BUU,0.031500
2052627,HK_20_F0GBR04D2K,0.127500
2052627,HK_20_F0GBR04AGE,0.031500
2052627,HK_20_F0000147JJ,0.251900
2052627,HK_20_F00000MC3V,0.119200
2052627,HK_20_F0GBR04MRX,0.262500
2052628,HK_20_0P0000VHMZ,0.175900
2052628,HK_20_F0HKG05BUU,0.031500
2052628,HK_20_F0GBR04D2K,0.127500
2052628,HK_20_F0GBR04AGE,0.031500
2052628,HK_20_F0000147JJ,0.251900
2052628,HK_20_F00000MC3V,0.119200
2052628,HK_20_F0GBR04MRX,0.262500
2052629,HK_20_0P0000VHMZ,0.175900
2052629,HK_20_F0HKG05BUU,0.031500
2052629,HK_20_F0GBR04D2K,0.127500
2052629,HK_20_F0GBR04AGE,0.031500
2052629,HK_20_F0000147JJ,0.251900
2052629,HK_20_F00000MC3V,0.119200
2052629,HK_20_F0GBR04MRX,0.262500
2052630,HK_20_0P0000VHMZ,0.175900
2052630,HK_20_F0HKG05BUU,0.031500
2052630,HK_20_F0GBR04D2K,0.127500
2052630,HK_20_F0GBR04AGE,0.031500
2052630,HK_20_F0000147JJ,0.251900
2052630,HK_20_F00000MC3V,0.119200
2052630,HK_20_F0GBR04MRX,0.262500
2052631,HK_20_0P0000VHMZ,0.175900
2052631,HK_20_F0HKG05BUU,0.031500
2052631,HK_20_F0GBR04D2K,0.127500
2052631,HK_20_F0GBR04AGE,0.031500
2052631,HK_20_F0000147JJ,0.251900
2052631,HK_20_F00000MC3V,0.119200
2052631,HK_20_F0GBR04MRX,0.262500
2052632,HK_20_0P0000VHMZ,0.175900
2052632,HK_20_F0HKG05BUU,0.031500
2052632,HK_20_F0GBR04D2K,0.127500
2052632,HK_20_F0GBR04AGE,0.031500
2052632,HK_20_F0000147JJ,0.251900
2052632,HK_20_F00000MC3V,0.119200
2052632,HK_20_F0GBR04MRX,0.262500
2052633,HK_20_0P0000VHMZ,0.175900
2052633,HK_20_F0HKG05BUU,0.031500
2052633,HK_20_F0GBR04D2K,0.127500
2052633,HK_20_F0GBR04AGE,0.031500
2052633,HK_20_F0000147JJ,0.251900
2052633,HK_20_F00000MC3V,0.119200
2052633,HK_20_F0GBR04MRX,0.262500
