dist_key,dist_type,dist_value,model_id
USA,200,27.960000,2052176
Others,200,8.050000,2052176
Singapore,200,0.990000,2052176
Hong Kong,200,3.670000,2052176
Japan,200,6.720000,2052176
Philippines,200,1.610000,2052176
Thailand,200,1.390000,2052176
Switzerland,200,0.480000,2052176
India,200,2.230000,2052176
Spain,200,1.090000,2052176
Canada,200,2.110000,2052176
Netherlands,200,0.220000,2052176
South Korea,200,3.310000,2052176
China,200,20.020000,2052176
UK,200,3.130000,2052176
Italy,200,4.150000,2052176
Mexico,200,0.740000,2052176
France,200,3.120000,2052176
Australia,200,2.760000,2052176
Germany,200,3.880000,2052176
Indonesia,200,2.370000,2052176
Financial Services,300,18.350000,2052176
Communication Services,300,12.220000,2052176
Utilities,300,1.070000,2052176
Basic Materials,300,1.850000,2052176
Energy,300,5.260000,2052176
Technology,300,17.940000,2052176
Real Estate,300,0.380000,2052176
Healthcare,300,12.420000,2052176
Consumer Defensive,300,5.710000,2052176
Industrials,300,10.410000,2052176
Consumer Cyclical,300,14.390000,2052176
Investment Grade Bond,500,91.520000,2052176
High Yield Bond,500,8.480000,2052176
USA,200,27.960000,2052177
Others,200,8.050000,2052177
Singapore,200,0.990000,2052177
Hong Kong,200,3.670000,2052177
Japan,200,6.720000,2052177
Philippines,200,1.610000,2052177
Thailand,200,1.390000,2052177
Switzerland,200,0.480000,2052177
India,200,2.230000,2052177
Spain,200,1.090000,2052177
Canada,200,2.110000,2052177
Netherlands,200,0.220000,2052177
South Korea,200,3.310000,2052177
China,200,20.020000,2052177
UK,200,3.130000,2052177
Italy,200,4.150000,2052177
Mexico,200,0.740000,2052177
France,200,3.120000,2052177
Australia,200,2.760000,2052177
Germany,200,3.880000,2052177
Indonesia,200,2.370000,2052177
Financial Services,300,18.350000,2052177
Communication Services,300,12.220000,2052177
Utilities,300,1.070000,2052177
Basic Materials,300,1.850000,2052177
Energy,300,5.260000,2052177
Technology,300,17.940000,2052177
Real Estate,300,0.380000,2052177
Healthcare,300,12.420000,2052177
Consumer Defensive,300,5.710000,2052177
Industrials,300,10.410000,2052177
Consumer Cyclical,300,14.390000,2052177
Investment Grade Bond,500,91.520000,2052177
High Yield Bond,500,8.480000,2052177
USA,200,27.960000,2052178
Others,200,8.050000,2052178
Singapore,200,0.990000,2052178
Hong Kong,200,3.670000,2052178
Japan,200,6.720000,2052178
Philippines,200,1.610000,2052178
Thailand,200,1.390000,2052178
Switzerland,200,0.480000,2052178
India,200,2.230000,2052178
Spain,200,1.090000,2052178
Canada,200,2.110000,2052178
Netherlands,200,0.220000,2052178
South Korea,200,3.310000,2052178
China,200,20.020000,2052178
UK,200,3.130000,2052178
