algo_type_id,sector,region,risk_ratio,version,model_id,summary,fund_type
223,A1,B1,7,15,2052627,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A2,B1,7,15,2052628,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A3,B1,7,15,2052629,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A4,B1,7,15,2052630,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A5,B1,7,15,2052631,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A1,B2,7,15,2052632,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A2,B2,7,15,2052633,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A3,B2,7,15,2052634,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A4,B2,7,15,2052635,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
223,A5,B2,7,15,2052636,"{'acc_ret':0.081240,'ann_ret':0.012614,'ann_ret_1y':-0.098175,'ann_ret_5y':0.007442,'ann_vol':0.027495,'ann_vol_1y':0.031947,'max_drawdown':0.117829,'max_drawdown_1y':0.117829,'max_drawdown_5y':0.117829,'sharpe_ratio':0.458762}","[{'FundSectorRate':1.85,'FundSectorName':'Basic Materials'},{'FundSectorRate':14.39,'FundSectorName':'Consumer Cyclical'},{'FundSectorRate':18.35,'FundSectorName':'Financial Services'},{'FundSectorRate':0.38,'FundSectorName':'Real Estate'},{'FundSectorRate':5.71,'FundSectorName':'Consumer Defensive'},{'FundSectorRate':12.42,'FundSectorName':'Healthcare'},{'FundSectorRate':1.07,'FundSectorName':'Utilities'},{'FundSectorRate':12.22,'FundSectorName':'Communication Services'},{'FundSectorRate':5.26,'FundSectorName':'Energy'},{'FundSectorRate':10.41,'FundSectorName':'Industrials'},{'FundSectorRate':17.94,'FundSectorName':'Technology'},{'FundRegionRate':27.96,'FundRegionName':'USA'},{'FundRegionRate':20.02,'FundRegionName':'China'},{'FundRegionRate':6.72,'FundRegionName':'Japan'},{'FundRegionRate':3.67,'FundRegionName':'Hong Kong'},{'FundRegionRate':3.13,'FundRegionName':'UK'},{'FundRegionRate':3.88,'FundRegionName':'Germany'},{'FundRegionRate':0.22,'FundRegionName':'Netherlands'},{'FundRegionRate':2.37,'FundRegionName':'Indonesia'},{'FundRegionRate':2.23,'FundRegionName':'India'},{'FundRegionRate':2.11,'FundRegionName':'Canada'},{'FundRegionRate':0.99,'FundRegionName':'Singapore'},{'FundRegionRate':3.31,'FundRegionName':'South Korea'},{'FundRegionRate':3.12,'FundRegionName':'France'},{'FundRegionRate':2.76,'FundRegionName':'Australia'},{'FundRegionRate':4.15,'FundRegionName':'Italy'},{'FundRegionRate':1.61,'FundRegionName':'Philippines'},{'FundRegionRate':0.74,'FundRegionName':'Mexico'},{'FundRegionRate':1.09,'FundRegionName':'Spain'},{'FundRegionRate':1.39,'FundRegionName':'Thailand'},{'FundRegionRate':0.48,'FundRegionName':'Switzerland'},{'FundRegionRate':8.05,'FundRegionName':'Others'},{'FundBondRate':91.52000000000001,'FundBondLevel':'Investment Grade Bond'},{'FundBondRate':8.48,'FundBondLevel':'High Yield Bond'}]"
