model_id,iuid,weight
2052176,HK_20_0P0000VHMZ,0.175900
2052176,HK_20_F0HKG05BUU,0.031500
2052176,HK_20_F0GBR04D2K,0.127500
2052176,HK_20_F0GBR04AGE,0.031500
2052176,HK_20_F0000147JJ,0.251900
2052176,HK_20_F00000MC3V,0.119200
2052176,HK_20_F0GBR04MRX,0.262500
2052177,HK_20_0P0000VHMZ,0.175900
2052177,HK_20_F0HKG05BUU,0.031500
2052177,HK_20_F0GBR04D2K,0.127500
2052177,HK_20_F0GBR04AGE,0.031500
2052177,HK_20_F0000147JJ,0.251900
2052177,HK_20_F00000MC3V,0.119200
2052177,HK_20_F0GBR04MRX,0.262500
2052178,HK_20_0P0000VHMZ,0.175900
2052178,HK_20_F0HKG05BUU,0.031500
2052178,HK_20_F0GBR04D2K,0.127500
2052178,HK_20_F0GBR04AGE,0.031500
2052178,HK_20_F0000147JJ,0.251900
2052178,HK_20_F00000MC3V,0.119200
2052178,HK_20_F0GBR04MRX,0.262500
2052179,HK_20_0P0000VHMZ,0.175900
2052179,HK_20_F0HKG05BUU,0.031500
2052179,HK_20_F0GBR04D2K,0.127500
2052179,HK_20_F0GBR04AGE,0.031500
2052179,HK_20_F0000147JJ,0.251900
2052179,HK_20_F00000MC3V,0.119200
2052179,HK_20_F0GBR04MRX,0.262500
2052180,HK_20_0P0000VHMZ,0.175900
2052180,HK_20_F0HKG05BUU,0.031500
2052180,HK_20_F0GBR04D2K,0.127500
2052180,HK_20_F0GBR04AGE,0.031500
2052180,HK_20_F0000147JJ,0.251900
2052180,HK_20_F00000MC3V,0.119200
2052180,HK_20_F0GBR04MRX,0.262500
2052181,HK_20_0P0000VHMZ,0.175900
2052181,HK_20_F0HKG05BUU,0.031500
2052181,HK_20_F0GBR04D2K,0.127500
2052181,HK_20_F0GBR04AGE,0.031500
2052181,HK_20_F0000147JJ,0.251900
2052181,HK_20_F00000MC3V,0.119200
2052181,HK_20_F0GBR04MRX,0.262500
2052182,HK_20_0P0000VHMZ,0.175900
2052182,HK_20_F0HKG05BUU,0.031500
2052182,HK_20_F0GBR04D2K,0.127500
2052182,HK_20_F0GBR04AGE,0.031500
2052182,HK_20_F0000147JJ,0.251900
2052182,HK_20_F00000MC3V,0.119200
2052182,HK_20_F0GBR04MRX,0.262500
2052183,HK_20_0P0000VHMZ,0.175900
2052183,HK_20_F0HKG05BUU,0.031500
2052183,HK_20_F0GBR04D2K,0.127500
2052183,HK_20_F0GBR04AGE,0.031500
2052183,HK_20_F0000147JJ,0.251900
2052183,HK_20_F00000MC3V,0.119200
2052183,HK_20_F0GBR04MRX,0.262500
2052184,HK_20_0P0000VHMZ,0.175900
2052184,HK_20_F0HKG05BUU,0.031500
2052184,HK_20_F0GBR04D2K,0.127500
2052184,HK_20_F0GBR04AGE,0.031500
2052184,HK_20_F0000147JJ,0.251900
2052184,HK_20_F00000MC3V,0.119200
2052184,HK_20_F0GBR04MRX,0.262500
2052185,HK_20_0P0000VHMZ,0.175900
2052185,HK_20_F0HKG05BUU,0.031500
2052185,HK_20_F0GBR04D2K,0.127500
2052185,HK_20_F0GBR04AGE,0.031500
2052185,HK_20_F0000147JJ,0.251900
2052185,HK_20_F00000MC3V,0.119200
2052185,HK_20_F0GBR04MRX,0.262500
2052186,HK_20_0P0000VHMZ,0.175900
2052186,HK_20_F0HKG05BUU,0.031500
2052186,HK_20_F0GBR04D2K,0.127500
2052186,HK_20_F0GBR04AGE,0.031500
2052186,HK_20_F0000147JJ,0.251900
2052186,HK_20_F00000MC3V,0.119200
2052186,HK_20_F0GBR04MRX,0.262500
2052187,HK_20_0P0000VHMZ,0.175900
2052187,HK_20_F0HKG05BUU,0.031500
2052187,HK_20_F0GBR04D2K,0.127500
2052187,HK_20_F0GBR04AGE,0.031500
2052187,HK_20_F0000147JJ,0.251900
2052187,HK_20_F00000MC3V,0.119200
2052187,HK_20_F0GBR04MRX,0.262500
2052188,HK_20_0P0000VHMZ,0.175900
2052188,HK_20_F0HKG05BUU,0.031500
2052188,HK_20_F0GBR04D2K,0.127500
2052188,HK_20_F0GBR04AGE,0.031500
2052188,HK_20_F0000147JJ,0.251900
2052188,HK_20_F00000MC3V,0.119200
2052188,HK_20_F0GBR04MRX,0.262500
2052189,HK_20_0P0000VHMZ,0.175900
2052189,HK_20_F0HKG05BUU,0.031500
2052189,HK_20_F0GBR04D2K,0.127500
2052189,HK_20_F0GBR04AGE,0.031500
2052189,HK_20_F0000147JJ,0.251900
2052189,HK_20_F00000MC3V,0.119200
2052189,HK_20_F0GBR04MRX,0.262500
2052190,HK_20_0P0000VHMZ,0.175900
