dist_key,dist_type,dist_value,model_id
科技,300,13.900000,192491
通信服务,300,0.390000,192491
能源,300,0.950000,192491
必需消费品,300,19.670000,192491
非必需消费品,300,11.870000,192491
房地产,300,2.630000,192491
医疗保健,300,5.400000,192491
原材料,300,8.180000,192491
金融,300,20.380000,192491
工业,300,13.960000,192491
公用事业,300,2.670000,192491
国债,700,68.210000,192491
现金等价物,700,19.670000,192491
企业债券,700,12.120000,192491
大市值股票,800,12.130000,192491
中市值股票,800,3.510000,192491
债券,800,76.290000,192491
货币市场,800,7.710000,192491
小市值股票,800,0.360000,192491
科技,300,13.900000,192492
通信服务,300,0.390000,192492
能源,300,0.950000,192492
必需消费品,300,19.670000,192492
非必需消费品,300,11.870000,192492
房地产,300,2.630000,192492
医疗保健,300,5.400000,192492
原材料,300,8.180000,192492
金融,300,20.380000,192492
工业,300,13.960000,192492
公用事业,300,2.670000,192492
国债,700,68.210000,192492
现金等价物,700,19.670000,192492
企业债券,700,12.120000,192492
大市值股票,800,12.130000,192492
中市值股票,800,3.510000,192492
债券,800,76.290000,192492
货币市场,800,7.710000,192492
小市值股票,800,0.360000,192492
科技,300,13.900000,192493
通信服务,300,0.390000,192493
能源,300,0.950000,192493
必需消费品,300,19.670000,192493
非必需消费品,300,11.870000,192493
房地产,300,2.630000,192493
医疗保健,300,5.400000,192493
原材料,300,8.180000,192493
金融,300,20.380000,192493
工业,300,13.960000,192493
公用事业,300,2.670000,192493
国债,700,68.210000,192493
现金等价物,700,19.670000,192493
企业债券,700,12.120000,192493
大市值股票,800,12.130000,192493
中市值股票,800,3.510000,192493
债券,800,76.290000,192493
货币市场,800,7.710000,192493
小市值股票,800,0.360000,192493
科技,300,13.900000,192494
通信服务,300,0.390000,192494
能源,300,0.950000,192494
必需消费品,300,19.670000,192494
非必需消费品,300,11.870000,192494
房地产,300,2.630000,192494
医疗保健,300,5.400000,192494
原材料,300,8.180000,192494
金融,300,20.380000,192494
工业,300,13.960000,192494
公用事业,300,2.670000,192494
国债,700,68.210000,192494
现金等价物,700,19.670000,192494
企业债券,700,12.120000,192494
大市值股票,800,12.130000,192494
中市值股票,800,3.510000,192494
债券,800,76.290000,192494
货币市场,800,7.710000,192494
小市值股票,800,0.360000,192494
科技,300,13.900000,192495
通信服务,300,0.390000,192495
能源,300,0.950000,192495
必需消费品,300,19.670000,192495
非必需消费品,300,11.870000,192495
房地产,300,2.630000,192495
医疗保健,300,5.400000,192495
原材料,300,8.180000,192495
金融,300,20.380000,192495
工业,300,13.960000,192495
公用事业,300,2.670000,192495
国债,700,68.210000,192495
现金等价物,700,19.670000,192495
企业债券,700,12.120000,192495
大市值股票,800,12.130000,192495
中市值股票,800,3.510000,192495
债券,800,76.290000,192495
货币市场,800,7.710000,192495
小市值股票,800,0.360000,192495
科技,300,13.830000,192496
通信服务,300,0.390000,192496
能源,300,0.890000,192496
必需消费品,300,19.940000,192496
非必需消费品,300,11.930000,192496
房地产,300,2.610000,192496
医疗保健,300,5.430000,192496
原材料,300,8.040000,192496
金融,300,20.290000,192496
工业,300,13.970000,192496
公用事业,300,2.680000,192496
国债,700,67.660000,192496
现金等价物,700,20.250000,192496
企业债券,700,12.090000,192496
大市值股票,800,13.640000,192496
中市值股票,800,3.940000,192496
债券,800,74.290000,192496
货币市场,800,7.710000,192496
小市值股票,800,0.420000,192496
科技,300,13.830000,192497
通信服务,300,0.390000,192497
能源,300,0.890000,192497
必需消费品,300,19.940000,192497
非必需消费品,300,11.930000,192497
房地产,300,2.610000,192497
医疗保健,300,5.430000,192497
原材料,300,8.040000,192497
金融,300,20.290000,192497
工业,300,13.970000,192497
公用事业,300,2.680000,192497
国债,700,67.660000,192497
现金等价物,700,20.250000,192497
企业债券,700,12.090000,192497
大市值股票,800,13.640000,192497
中市值股票,800,3.940000,192497
