algo_type_id,sector,region,risk_ratio,version,model_id,summary,fund_type
228,A1,B1,20,13,192491,"{'acc_ret':0.898147,'ann_ret':0.093196,'ann_ret_1y':0.086082,'ann_ret_5y':0.065857,'ann_vol':0.044844,'ann_vol_1y':0.052072,'max_drawdown':0.049074,'max_drawdown_1y':0.036170,'max_drawdown_5y':0.036170,'sharpe_ratio':2.078233}","[{'FundSectorRate':8.18,'FundSectorName':'原材料'},{'FundSectorRate':11.87,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.38,'FundSectorName':'金融'},{'FundSectorRate':2.63,'FundSectorName':'房地产'},{'FundSectorRate':19.67,'FundSectorName':'必需消费品'},{'FundSectorRate':5.4,'FundSectorName':'医疗保健'},{'FundSectorRate':2.67,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.95,'FundSectorName':'能源'},{'FundSectorRate':13.96,'FundSectorName':'工业'},{'FundSectorRate':13.9,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':68.21},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.12},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':19.67},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':12.13},{'FundTypeName':'中市值股票','FundTypeRate':3.51},{'FundTypeName':'小市值股票','FundTypeRate':0.36},{'FundTypeName':'债券','FundTypeRate':76.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A2,B1,20,13,192492,"{'acc_ret':0.898147,'ann_ret':0.093196,'ann_ret_1y':0.086082,'ann_ret_5y':0.065857,'ann_vol':0.044844,'ann_vol_1y':0.052072,'max_drawdown':0.049074,'max_drawdown_1y':0.036170,'max_drawdown_5y':0.036170,'sharpe_ratio':2.078233}","[{'FundSectorRate':8.18,'FundSectorName':'原材料'},{'FundSectorRate':11.87,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.38,'FundSectorName':'金融'},{'FundSectorRate':2.63,'FundSectorName':'房地产'},{'FundSectorRate':19.67,'FundSectorName':'必需消费品'},{'FundSectorRate':5.4,'FundSectorName':'医疗保健'},{'FundSectorRate':2.67,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.95,'FundSectorName':'能源'},{'FundSectorRate':13.96,'FundSectorName':'工业'},{'FundSectorRate':13.9,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':68.21},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.12},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':19.67},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':12.13},{'FundTypeName':'中市值股票','FundTypeRate':3.51},{'FundTypeName':'小市值股票','FundTypeRate':0.36},{'FundTypeName':'债券','FundTypeRate':76.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A3,B1,20,13,192493,"{'acc_ret':0.898147,'ann_ret':0.093196,'ann_ret_1y':0.086082,'ann_ret_5y':0.065857,'ann_vol':0.044844,'ann_vol_1y':0.052072,'max_drawdown':0.049074,'max_drawdown_1y':0.036170,'max_drawdown_5y':0.036170,'sharpe_ratio':2.078233}","[{'FundSectorRate':8.18,'FundSectorName':'原材料'},{'FundSectorRate':11.87,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.38,'FundSectorName':'金融'},{'FundSectorRate':2.63,'FundSectorName':'房地产'},{'FundSectorRate':19.67,'FundSectorName':'必需消费品'},{'FundSectorRate':5.4,'FundSectorName':'医疗保健'},{'FundSectorRate':2.67,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.95,'FundSectorName':'能源'},{'FundSectorRate':13.96,'FundSectorName':'工业'},{'FundSectorRate':13.9,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':68.21},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.12},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':19.67},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':12.13},{'FundTypeName':'中市值股票','FundTypeRate':3.51},{'FundTypeName':'小市值股票','FundTypeRate':0.36},{'FundTypeName':'债券','FundTypeRate':76.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A4,B1,20,13,192494,"{'acc_ret':0.898147,'ann_ret':0.093196,'ann_ret_1y':0.086082,'ann_ret_5y':0.065857,'ann_vol':0.044844,'ann_vol_1y':0.052072,'max_drawdown':0.049074,'max_drawdown_1y':0.036170,'max_drawdown_5y':0.036170,'sharpe_ratio':2.078233}","[{'FundSectorRate':8.18,'FundSectorName':'原材料'},{'FundSectorRate':11.87,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.38,'FundSectorName':'金融'},{'FundSectorRate':2.63,'FundSectorName':'房地产'},{'FundSectorRate':19.67,'FundSectorName':'必需消费品'},{'FundSectorRate':5.4,'FundSectorName':'医疗保健'},{'FundSectorRate':2.67,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.95,'FundSectorName':'能源'},{'FundSectorRate':13.96,'FundSectorName':'工业'},{'FundSectorRate':13.9,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':68.21},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.12},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':19.67},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':12.13},{'FundTypeName':'中市值股票','FundTypeRate':3.51},{'FundTypeName':'小市值股票','FundTypeRate':0.36},{'FundTypeName':'债券','FundTypeRate':76.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A5,B1,20,13,192495,"{'acc_ret':0.898147,'ann_ret':0.093196,'ann_ret_1y':0.086082,'ann_ret_5y':0.065857,'ann_vol':0.044844,'ann_vol_1y':0.052072,'max_drawdown':0.049074,'max_drawdown_1y':0.036170,'max_drawdown_5y':0.036170,'sharpe_ratio':2.078233}","[{'FundSectorRate':8.18,'FundSectorName':'原材料'},{'FundSectorRate':11.87,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.38,'FundSectorName':'金融'},{'FundSectorRate':2.63,'FundSectorName':'房地产'},{'FundSectorRate':19.67,'FundSectorName':'必需消费品'},{'FundSectorRate':5.4,'FundSectorName':'医疗保健'},{'FundSectorRate':2.67,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.95,'FundSectorName':'能源'},{'FundSectorRate':13.96,'FundSectorName':'工业'},{'FundSectorRate':13.9,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':68.21},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.12},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':19.67},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':12.13},{'FundTypeName':'中市值股票','FundTypeRate':3.51},{'FundTypeName':'小市值股票','FundTypeRate':0.36},{'FundTypeName':'债券','FundTypeRate':76.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A1,B2,20,13,192496,"{'acc_ret':0.912294,'ann_ret':0.094325,'ann_ret_1y':0.076129,'ann_ret_5y':0.066132,'ann_vol':0.047992,'ann_vol_1y':0.049998,'max_drawdown':0.054428,'max_drawdown_1y':0.037657,'max_drawdown_5y':0.037657,'sharpe_ratio':1.965442}","[{'FundSectorRate':8.04,'FundSectorName':'原材料'},{'FundSectorRate':11.93,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.29,'FundSectorName':'金融'},{'FundSectorRate':2.61,'FundSectorName':'房地产'},{'FundSectorRate':19.94,'FundSectorName':'必需消费品'},{'FundSectorRate':5.43,'FundSectorName':'医疗保健'},{'FundSectorRate':2.68,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.89,'FundSectorName':'能源'},{'FundSectorRate':13.97,'FundSectorName':'工业'},{'FundSectorRate':13.83,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':67.66},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.09},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':20.25},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':13.64},{'FundTypeName':'中市值股票','FundTypeRate':3.94},{'FundTypeName':'小市值股票','FundTypeRate':0.42},{'FundTypeName':'债券','FundTypeRate':74.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A2,B2,20,13,192497,"{'acc_ret':0.912294,'ann_ret':0.094325,'ann_ret_1y':0.076129,'ann_ret_5y':0.066132,'ann_vol':0.047992,'ann_vol_1y':0.049998,'max_drawdown':0.054428,'max_drawdown_1y':0.037657,'max_drawdown_5y':0.037657,'sharpe_ratio':1.965442}","[{'FundSectorRate':8.04,'FundSectorName':'原材料'},{'FundSectorRate':11.93,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.29,'FundSectorName':'金融'},{'FundSectorRate':2.61,'FundSectorName':'房地产'},{'FundSectorRate':19.94,'FundSectorName':'必需消费品'},{'FundSectorRate':5.43,'FundSectorName':'医疗保健'},{'FundSectorRate':2.68,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.89,'FundSectorName':'能源'},{'FundSectorRate':13.97,'FundSectorName':'工业'},{'FundSectorRate':13.83,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':67.66},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.09},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':20.25},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':13.64},{'FundTypeName':'中市值股票','FundTypeRate':3.94},{'FundTypeName':'小市值股票','FundTypeRate':0.42},{'FundTypeName':'债券','FundTypeRate':74.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A3,B2,20,13,192498,"{'acc_ret':0.912294,'ann_ret':0.094325,'ann_ret_1y':0.076129,'ann_ret_5y':0.066132,'ann_vol':0.047992,'ann_vol_1y':0.049998,'max_drawdown':0.054428,'max_drawdown_1y':0.037657,'max_drawdown_5y':0.037657,'sharpe_ratio':1.965442}","[{'FundSectorRate':8.04,'FundSectorName':'原材料'},{'FundSectorRate':11.93,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.29,'FundSectorName':'金融'},{'FundSectorRate':2.61,'FundSectorName':'房地产'},{'FundSectorRate':19.94,'FundSectorName':'必需消费品'},{'FundSectorRate':5.43,'FundSectorName':'医疗保健'},{'FundSectorRate':2.68,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.89,'FundSectorName':'能源'},{'FundSectorRate':13.97,'FundSectorName':'工业'},{'FundSectorRate':13.83,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':67.66},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.09},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':20.25},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':13.64},{'FundTypeName':'中市值股票','FundTypeRate':3.94},{'FundTypeName':'小市值股票','FundTypeRate':0.42},{'FundTypeName':'债券','FundTypeRate':74.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A4,B2,20,13,192499,"{'acc_ret':0.912294,'ann_ret':0.094325,'ann_ret_1y':0.076129,'ann_ret_5y':0.066132,'ann_vol':0.047992,'ann_vol_1y':0.049998,'max_drawdown':0.054428,'max_drawdown_1y':0.037657,'max_drawdown_5y':0.037657,'sharpe_ratio':1.965442}","[{'FundSectorRate':8.04,'FundSectorName':'原材料'},{'FundSectorRate':11.93,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.29,'FundSectorName':'金融'},{'FundSectorRate':2.61,'FundSectorName':'房地产'},{'FundSectorRate':19.94,'FundSectorName':'必需消费品'},{'FundSectorRate':5.43,'FundSectorName':'医疗保健'},{'FundSectorRate':2.68,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.89,'FundSectorName':'能源'},{'FundSectorRate':13.97,'FundSectorName':'工业'},{'FundSectorRate':13.83,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':67.66},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.09},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':20.25},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':13.64},{'FundTypeName':'中市值股票','FundTypeRate':3.94},{'FundTypeName':'小市值股票','FundTypeRate':0.42},{'FundTypeName':'债券','FundTypeRate':74.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
228,A5,B2,20,13,192500,"{'acc_ret':0.912294,'ann_ret':0.094325,'ann_ret_1y':0.076129,'ann_ret_5y':0.066132,'ann_vol':0.047992,'ann_vol_1y':0.049998,'max_drawdown':0.054428,'max_drawdown_1y':0.037657,'max_drawdown_5y':0.037657,'sharpe_ratio':1.965442}","[{'FundSectorRate':8.04,'FundSectorName':'原材料'},{'FundSectorRate':11.93,'FundSectorName':'非必需消费品'},{'FundSectorRate':20.29,'FundSectorName':'金融'},{'FundSectorRate':2.61,'FundSectorName':'房地产'},{'FundSectorRate':19.94,'FundSectorName':'必需消费品'},{'FundSectorRate':5.43,'FundSectorName':'医疗保健'},{'FundSectorRate':2.68,'FundSectorName':'公用事业'},{'FundSectorRate':0.39,'FundSectorName':'通信服务'},{'FundSectorRate':0.89,'FundSectorName':'能源'},{'FundSectorRate':13.97,'FundSectorName':'工业'},{'FundSectorRate':13.83,'FundSectorName':'科技'},{'FundBondSector':'国债','FundBondRate':67.66},{'FundBondSector':'市政债券','FundBondRate':0.0},{'FundBondSector':'企业债券','FundBondRate':12.09},{'FundBondSector':'可转债','FundBondRate':0.0},{'FundBondSector':'现金等价物','FundBondRate':20.25},{'FundBondSector':'衍生品','FundBondRate':0.0},{'FundTypeName':'大市值股票','FundTypeRate':13.64},{'FundTypeName':'中市值股票','FundTypeRate':3.94},{'FundTypeName':'小市值股票','FundTypeRate':0.42},{'FundTypeName':'债券','FundTypeRate':74.29},{'FundTypeName':'货币市场','FundTypeRate':7.71}]"
