model_id,iuid,weight
192491,CN_20_000205,0.384000
192491,CN_20_001050,0.044000
192491,CN_20_003358,0.255000
192491,CN_20_110007,0.120000
192491,CN_20_110022,0.039000
192491,CN_20_110030,0.078000
192491,CN_20_202307,0.080000
192492,CN_20_000205,0.384000
192492,CN_20_001050,0.044000
192492,CN_20_003358,0.255000
192492,CN_20_110007,0.120000
192492,CN_20_110022,0.039000
192492,CN_20_110030,0.078000
192492,CN_20_202307,0.080000
192493,CN_20_000205,0.384000
192493,CN_20_001050,0.044000
192493,CN_20_003358,0.255000
192493,CN_20_110007,0.120000
192493,CN_20_110022,0.039000
192493,CN_20_110030,0.078000
192493,CN_20_202307,0.080000
192494,CN_20_000205,0.384000
192494,CN_20_001050,0.044000
192494,CN_20_003358,0.255000
192494,CN_20_110007,0.120000
192494,CN_20_110022,0.039000
192494,CN_20_110030,0.078000
192494,CN_20_202307,0.080000
192495,CN_20_000205,0.384000
192495,CN_20_001050,0.044000
192495,CN_20_003358,0.255000
192495,CN_20_110007,0.120000
192495,CN_20_110022,0.039000
192495,CN_20_110030,0.078000
192495,CN_20_202307,0.080000
192496,CN_20_000205,0.376000
192496,CN_20_001050,0.049000
192496,CN_20_003358,0.248000
192496,CN_20_110007,0.118000
192496,CN_20_110022,0.044000
192496,CN_20_110030,0.087000
192496,CN_20_202307,0.078000
192497,CN_20_000205,0.376000
192497,CN_20_001050,0.049000
192497,CN_20_003358,0.248000
192497,CN_20_110007,0.118000
192497,CN_20_110022,0.044000
192497,CN_20_110030,0.087000
192497,CN_20_202307,0.078000
192498,CN_20_000205,0.376000
192498,CN_20_001050,0.049000
192498,CN_20_003358,0.248000
192498,CN_20_110007,0.118000
192498,CN_20_110022,0.044000
192498,CN_20_110030,0.087000
192498,CN_20_202307,0.078000
192499,CN_20_000205,0.376000
192499,CN_20_001050,0.049000
192499,CN_20_003358,0.248000
192499,CN_20_110007,0.118000
192499,CN_20_110022,0.044000
192499,CN_20_110030,0.087000
192499,CN_20_202307,0.078000
192500,CN_20_000205,0.376000
192500,CN_20_001050,0.049000
192500,CN_20_003358,0.248000
192500,CN_20_110007,0.118000
192500,CN_20_110022,0.044000
192500,CN_20_110030,0.087000
192500,CN_20_202307,0.078000
192501,CN_20_000205,0.366000
192501,CN_20_001050,0.054000
192501,CN_20_003358,0.242000
192501,CN_20_110007,0.115000
192501,CN_20_110022,0.049000
192501,CN_20_110030,0.097000
192501,CN_20_202307,0.077000
192502,CN_20_000205,0.366000
192502,CN_20_001050,0.054000
192502,CN_20_003358,0.242000
192502,CN_20_110007,0.115000
192502,CN_20_110022,0.049000
192502,CN_20_110030,0.097000
192502,CN_20_202307,0.077000
192503,CN_20_000205,0.366000
192503,CN_20_001050,0.054000
192503,CN_20_003358,0.242000
192503,CN_20_110007,0.115000
192503,CN_20_110022,0.049000
192503,CN_20_110030,0.097000
192503,CN_20_202307,0.077000
192504,CN_20_000205,0.366000
192504,CN_20_001050,0.054000
192504,CN_20_003358,0.242000
192504,CN_20_110007,0.115000
192504,CN_20_110022,0.049000
192504,CN_20_110030,0.097000
192504,CN_20_202307,0.077000
192505,CN_20_000205,0.366000
192505,CN_20_001050,0.054000
192505,CN_20_003358,0.242000
192505,CN_20_110007,0.115000
192505,CN_20_110022,0.049000
192505,CN_20_110030,0.097000
192505,CN_20_202307,0.077000
192506,CN_20_000205,0.355000
192506,CN_20_001050,0.060000
192506,CN_20_003358,0.235000
192506,CN_20_110007,0.113000
192506,CN_20_110022,0.054000
192506,CN_20_110030,0.107000
192506,CN_20_202307,0.076000
192507,CN_20_000205,0.355000
192507,CN_20_001050,0.060000
192507,CN_20_003358,0.235000
192507,CN_20_110007,0.113000
192507,CN_20_110022,0.054000
192507,CN_20_110030,0.107000
192507,CN_20_202307,0.076000
192508,CN_20_000205,0.355000
192508,CN_20_001050,0.060000
192508,CN_20_003358,0.235000
192508,CN_20_110007,0.113000
192508,CN_20_110022,0.054000
192508,CN_20_110030,0.107000
192508,CN_20_202307,0.076000
192509,CN_20_000205,0.355000
192509,CN_20_001050,0.060000
192509,CN_20_003358,0.235000
192509,CN_20_110007,0.113000
192509,CN_20_110022,0.054000
192509,CN_20_110030,0.107000
192509,CN_20_202307,0.076000
192510,CN_20_000205,0.355000
192510,CN_20_001050,0.060000
192510,CN_20_003358,0.235000
192510,CN_20_110007,0.113000
192510,CN_20_110022,0.054000
192510,CN_20_110030,0.107000
192510,CN_20_202307,0.076000
192511,CN_20_000205,0.347000
192511,CN_20_001050,0.065000
192511,CN_20_003358,0.228000
192511,CN_20_110007,0.110000
192511,CN_20_110022,0.058000
192511,CN_20_110030,0.117000
192511,CN_20_202307,0.075000
192512,CN_20_000205,0.347000
192512,CN_20_001050,0.065000
192512,CN_20_003358,0.228000
192512,CN_20_110007,0.110000
192512,CN_20_110022,0.058000
192512,CN_20_110030,0.117000
192512,CN_20_202307,0.075000
192513,CN_20_000205,0.347000
192513,CN_20_001050,0.065000
192513,CN_20_003358,0.228000
192513,CN_20_110007,0.110000
192513,CN_20_110022,0.058000
192513,CN_20_110030,0.117000
192513,CN_20_202307,0.075000
192514,CN_20_000205,0.347000
192514,CN_20_001050,0.065000
192514,CN_20_003358,0.228000
192514,CN_20_110007,0.110000
192514,CN_20_110022,0.058000
192514,CN_20_110030,0.117000
192514,CN_20_202307,0.075000
192515,CN_20_000205,0.347000
192515,CN_20_001050,0.065000
192515,CN_20_003358,0.228000
192515,CN_20_110007,0.110000
192515,CN_20_110022,0.058000
192515,CN_20_110030,0.117000
192515,CN_20_202307,0.075000
192516,CN_20_000205,0.428000
192516,CN_20_000711,0.029000
192516,CN_20_000955,0.101000
192516,CN_20_001469,0.027000
192516,CN_20_110007,0.144000
192516,CN_20_110022,0.052000
192516,CN_20_110030,0.151000
192516,CN_20_202307,0.068000
192517,CN_20_000205,0.286000
192517,CN_20_000711,0.027000
192517,CN_20_001050,0.091000
192517,CN_20_001469,0.027000
192517,CN_20_003358,0.189000
192517,CN_20_003745,0.027000
192517,CN_20_110007,0.096000
192517,CN_20_110022,0.027000
192517,CN_20_110030,0.162000
192517,CN_20_202307,0.068000
192518,CN_20_000205,0.286000
192518,CN_20_000711,0.027000
192518,CN_20_001050,0.091000
192518,CN_20_001469,0.027000
192518,CN_20_003358,0.189000
192518,CN_20_003745,0.027000
192518,CN_20_110007,0.096000
192518,CN_20_110022,0.027000
192518,CN_20_110030,0.162000
192518,CN_20_202307,0.068000
192519,CN_20_000205,0.286000
192519,CN_20_000711,0.027000
192519,CN_20_001050,0.091000
192519,CN_20_001469,0.027000
192519,CN_20_003358,0.189000
192519,CN_20_003745,0.027000
192519,CN_20_110007,0.096000
192519,CN_20_110022,0.027000
192519,CN_20_110030,0.162000
192519,CN_20_202307,0.068000
192520,CN_20_000205,0.286000
192520,CN_20_000711,0.027000
192520,CN_20_001050,0.091000
192520,CN_20_001469,0.027000
192520,CN_20_003358,0.189000
192520,CN_20_003745,0.027000
192520,CN_20_110007,0.096000
192520,CN_20_110022,0.027000
192520,CN_20_110030,0.162000
192520,CN_20_202307,0.068000
192521,CN_20_000205,0.279000
192521,CN_20_000711,0.026000
192521,CN_20_001050,0.102000
192521,CN_20_001469,0.027000
192521,CN_20_003358,0.182000
192521,CN_20_003745,0.030000
192521,CN_20_110007,0.094000
192521,CN_20_110022,0.030000
192521,CN_20_110030,0.164000
192521,CN_20_202307,0.066000
192522,CN_20_000205,0.279000
192522,CN_20_000711,0.033000
192522,CN_20_001050,0.100000
192522,CN_20_001469,0.026000
